
========================================
     OPTIMIZATION COMPLETE
========================================
Search type: COARSE
Total time: 1761.8s (29.4 minutes)
Combinations tested: 88
Games per combination: 2309
Total games: 203192
Fixed first guess: TARES
Timestamp: 2025-11-10 00:12:40

=== BEST RESULT ===
Midpoint: 0.625
Steepness: 16
Average Guesses: 3.9142
Win Rate: 98.92 %
Wins: 2284
Losses: 25
Distribution [Fail,1,2,3,4,5,6]: 25, 0, 46, 719, 1040, 395, 84
Execution time: 19898ms

=== TOP 5 RESULTS ===
1. M=0.63, S=16.0 -> Avg=3.9142, Win=98.92 %
2. M=0.60, S=16.0 -> Avg=3.9190, Win=98.83 %
3. M=0.60, S=19.0 -> Avg=3.9199, Win=98.92 %
4. M=0.63, S=13.0 -> Avg=3.9199, Win=98.83 %
5. M=0.60, S=13.0 -> Avg=3.9207, Win=98.87 %

=== ALL RESULTS (sorted by avg guesses) ===
Midpoint, Steepness, AvgGuesses, WinRate, Wins, Losses, ExecutionTimeMs
0.63, 16.00, 3.9142, 98.92 %, 2284, 25, 19898
0.60, 16.00, 3.9190, 98.83 %, 2282, 27, 19765
0.60, 19.00, 3.9199, 98.92 %, 2284, 25, 19910
0.63, 13.00, 3.9199, 98.83 %, 2282, 27, 19810
0.60, 13.00, 3.9207, 98.87 %, 2283, 26, 19907
0.60, 23.00, 3.9212, 98.96 %, 2285, 24, 19900
0.63, 26.00, 3.9225, 98.87 %, 2283, 26, 19919
0.63, 19.00, 3.9238, 98.87 %, 2283, 26, 19778
0.63, 23.00, 3.9251, 98.87 %, 2283, 26, 19968
0.58, 23.00, 3.9255, 98.87 %, 2283, 26, 19808
0.63, 10.00, 3.9259, 98.79 %, 2281, 28, 19913
0.60, 26.00, 3.9264, 98.96 %, 2285, 24, 19761
0.58, 19.00, 3.9281, 98.87 %, 2283, 26, 19933
0.55, 16.00, 3.9294, 98.92 %, 2284, 25, 19890
0.55, 16.00, 3.9298, 98.92 %, 2284, 25, 19782
0.58, 16.00, 3.9298, 99.00 %, 2286, 23, 19887
0.58, 26.00, 3.9311, 98.87 %, 2283, 26, 19835
0.55, 26.00, 3.9316, 98.96 %, 2285, 24, 19879
0.55, 26.00, 3.9316, 98.96 %, 2285, 24, 19800
0.58, 13.00, 3.9320, 98.87 %, 2283, 26, 19771
0.55, 19.00, 3.9324, 99.09 %, 2288, 21, 19858
0.55, 23.00, 3.9324, 99.00 %, 2286, 23, 19812
0.55, 19.00, 3.9324, 99.09 %, 2288, 21, 19788
0.55, 23.00, 3.9324, 99.00 %, 2286, 23, 19867
0.60, 10.00, 3.9333, 98.79 %, 2281, 28, 19741
0.55, 10.00, 3.9337, 98.87 %, 2283, 26, 19897
0.55, 10.00, 3.9337, 98.87 %, 2283, 26, 19748
0.63, 7.00, 3.9363, 98.61 %, 2277, 32, 19788
0.60, 7.00, 3.9372, 98.57 %, 2276, 33, 19928
0.55, 13.00, 3.9407, 98.96 %, 2285, 24, 19891
0.55, 13.00, 3.9407, 98.96 %, 2285, 24, 19847
0.58, 10.00, 3.9437, 98.87 %, 2283, 26, 19887
0.50, 19.00, 3.9467, 98.96 %, 2285, 24, 19783
0.58, 7.00, 3.9467, 98.66 %, 2278, 31, 19811
0.48, 19.00, 3.9472, 98.87 %, 2283, 26, 19912
0.55, 7.00, 3.9472, 98.57 %, 2276, 33, 19789
0.55, 7.00, 3.9476, 98.57 %, 2276, 33, 19921
0.48, 23.00, 3.9485, 98.96 %, 2285, 24, 19755
0.50, 13.00, 3.9498, 98.87 %, 2283, 26, 19761
0.48, 10.00, 3.9502, 99.00 %, 2286, 23, 19835
0.50, 10.00, 3.9506, 98.87 %, 2283, 26, 19886
0.50, 16.00, 3.9506, 99.00 %, 2286, 23, 19858
0.50, 23.00, 3.9506, 99.00 %, 2286, 23, 19909
0.45, 19.00, 3.9528, 98.83 %, 2282, 27, 19791
0.63, 5.00, 3.9528, 98.53 %, 2275, 34, 19859
0.48, 16.00, 3.9537, 98.96 %, 2285, 24, 19745
0.48, 26.00, 3.9545, 99.00 %, 2286, 23, 19793
0.45, 16.00, 3.9550, 99.05 %, 2287, 22, 19872
0.50, 26.00, 3.9563, 99.05 %, 2287, 22, 19779
0.45, 26.00, 3.9593, 98.92 %, 2284, 25, 19774
0.48, 13.00, 3.9597, 98.92 %, 2284, 25, 19858
0.45, 10.00, 3.9602, 98.96 %, 2285, 24, 19922
0.43, 26.00, 3.9606, 98.92 %, 2284, 25, 19866
0.45, 13.00, 3.9606, 98.79 %, 2281, 28, 19759
0.50, 7.00, 3.9606, 98.57 %, 2276, 33, 19900
0.43, 23.00, 3.9610, 98.96 %, 2285, 24, 19791
0.45, 23.00, 3.9628, 98.87 %, 2283, 26, 19915
0.43, 19.00, 3.9649, 99.13 %, 2289, 20, 19876
0.60, 5.00, 3.9654, 98.53 %, 2275, 34, 19747
0.48, 7.00, 3.9671, 98.53 %, 2275, 34, 19934
0.55, 5.00, 3.9684, 98.48 %, 2274, 35, 19753
0.43, 16.00, 3.9688, 98.96 %, 2285, 24, 19720
0.55, 5.00, 3.9688, 98.48 %, 2274, 35, 19860
0.40, 26.00, 3.9693, 98.96 %, 2285, 24, 19781
0.40, 13.00, 3.9701, 98.83 %, 2282, 27, 19743
0.40, 23.00, 3.9706, 99.00 %, 2286, 23, 19952
0.43, 13.00, 3.9718, 98.96 %, 2285, 24, 19909
0.58, 5.00, 3.9718, 98.48 %, 2274, 35, 19928
0.40, 19.00, 3.9731, 99.00 %, 2286, 23, 19889
0.40, 16.00, 3.9736, 98.96 %, 2285, 24, 19934
0.38, 26.00, 3.9762, 98.92 %, 2284, 25, 19895
0.45, 7.00, 3.9762, 98.57 %, 2276, 33, 19958
0.43, 10.00, 3.9766, 98.61 %, 2277, 32, 19754
0.38, 23.00, 3.9779, 98.92 %, 2284, 25, 19787
0.38, 19.00, 3.9783, 98.92 %, 2284, 25, 19820
0.38, 16.00, 3.9788, 98.70 %, 2279, 30, 19735
0.43, 7.00, 3.9801, 98.70 %, 2279, 30, 19829
0.38, 10.00, 3.9866, 98.66 %, 2278, 31, 19719
0.38, 13.00, 3.9874, 98.53 %, 2275, 34, 19845
0.50, 5.00, 3.9874, 98.57 %, 2276, 33, 19788
0.40, 7.00, 3.9879, 98.70 %, 2279, 30, 19715
0.48, 5.00, 3.9887, 98.70 %, 2279, 30, 19863
0.40, 10.00, 3.9892, 98.66 %, 2278, 31, 19902
0.45, 5.00, 3.9913, 98.57 %, 2276, 33, 19728
0.43, 5.00, 3.9944, 98.48 %, 2274, 35, 19952
0.38, 7.00, 3.9961, 98.61 %, 2277, 32, 19895
0.40, 5.00, 3.9978, 98.53 %, 2275, 34, 19867
0.38, 5.00, 4.0052, 98.57 %, 2276, 33, 35245
========================================

